Каталоги, Выручка в ценовых сегментах"
глазные и ушные препараты,от 300 до 500
капли ушные,от 300 до 500
дерматологические препараты,от 600 до 999999999
зеленки,от 300 до 400
йод,от 200 до 400
капли для глаз увлажняющие,от 300 до 700
капли назальные,от 300 до 400
лекарственные травы,от 999999999
окклюдеры,от 1000 до 999999999
препараты для дыхательной системы,от 400 до 999999999
препараты для опорно-двигательного аппарата,от 9700 до 9900
препараты для пищеварительной системы,от 400 до 999999999
препараты от простуды, гриппа и орви,от 500 до 999999999
противовирусные препараты,от 900 до 999999999
противогрибковые препараты,от 600 до 999999999
противопростудные препараты,от 2400 до 999999999
спреи от курения,от 400 до 500
средства от колик для малышей,от 999999999
средства от педикулеза,от 500 до 600
средства профилактики,от 400 до 999999999
фитосвечи,от 400 до 600
массажные изделия,от 500 до 1500
аппликаторы кузнецова,от 1200 до 1400
аппликаторы ляпко,от 1200 до 999999999
коврики массажные,от 1600 до 2400
кресла массажные,от 13000 до 30000
скребки гуаша,от 200 до 500
столы массажные,от 5000 до 27000
тапочки массажные,от 800 до 1200
медицинские изделия,от 400 до 600
акушерские пессарии,от 600 до 999999999
антибактериальные терапевтические приборы,от 1400 до 2000
аппликаторы грязевые,от 300 до 400
аптечки первой помощи,от 500 до 1000
бандажи после мастэктомии,от 1900 до 4400
